,osm_id,highway,length,geometry
20285,25372105,cycleway,42.8419295028881,"SRID=3857;LINESTRING(916715.82 7018073.42,916711.21 7018070.95,916709.89 7018066.36,916712.2 7018061.75,916717.29 7018059.45,916721.73 7018061.42,916723.86 7018067.51,916721.07 7018072.09999999,916715.82 7018073.42)"
20284,25372106,cycleway,73.7820134118856,"SRID=3857;LINESTRING(916715.82 7018073.42,916696.25 7018126.87,916699.91 7018143.33)"
20283,25372107,cycleway,59.3271084748904,"SRID=3857;LINESTRING(916709.89 7018066.36,916650.86 7018060.43)"
20281,25372108,cycleway,119.64460946725,"SRID=3857;LINESTRING(916717.29 7018059.45,916725.85 7018049.75,916738.5 7018041.85,916760.04 7018030.84,916776 7018018.17,916788 7018002.06,916797.31 7017976.57)"
20280,25564468,cycleway,83.0707760715164,"SRID=3857;LINESTRING(916626.81 7017916.56,916652.23 7017930.53,916675.42 7017955.82,916691.4 7017967.43)"
4157,21620388,cycleway,150.371069520727,"SRID=3857;LINESTRING(912912.44 7005800.78,912913.69 7005795.95,912918.15 7005792.61,912923.67 7005791.8,912960.44 7005804.73,912962.02 7005806.34,913010.64 7005827.77,913047.1 7005843.89)"
4159,23079951,cycleway,79.2152939790644,"SRID=3857;LINESTRING(913047.1 7005843.89,913121.08 7005872.21)"
5143,24647269,cycleway,38.1330748841617,"SRID=3857;LINESTRING(915713.92 7002385.52,915695.25 7002418.77)"
15248,21839932,cycleway,169.083707544663,"SRID=3857;LINESTRING(914892.36 7010990.96,914840.91 7010997.64,914830.35 7010999.06,914724.04 7011006.16)"
5142,23750580,cycleway,736.623916590449,"SRID=3857;LINESTRING(915294.81 7002198.5,915313.31 7002216.66,915568.85 7002349.53,915695.25 7002418.77,915820.04 7002483.55,915942.71 7002546.67)"
13457,23174336,cycleway,1219.48333508757,"SRID=3857;LINESTRING(913489.52 7015629.16,913478.6 7015607.19,913474.5 7015584.76999999,913468.86 7015551.71,913424.79 7015467.54,913399.33 7015432.81,913384.15 7015406.82,913345 7015335.49,913337.76 7015300.87,913339.67 7015257.13,913348.82 7015219.5,913365.59 7015188.88,913377.36 7015169.32,913396.19 7015138.01,913418.91 7015086.92,913418.34 7015078.71,913407.88 7015048.42,913397.39 7015030.96,913376.37 7014995.93,913375.02 7014993.69,913332.85 7014926.31,913328.11 7014919.36,913283.21 7014845.13,913247.58 7014770.46,913185.12 7014585.1,913165.57 7014524.25)"
1456,25477348,cycleway,41.1783656782838,"SRID=3857;LINESTRING(908985.68 7011127.95,908980.65 7011087.08)"
15325,23174174,cycleway,88.0337236515571,"SRID=3857;LINESTRING(915869.32 7010657.63,915833.15 7010737.89)"
1455,25477347,cycleway,32.3308954417249,"SRID=3857;LINESTRING(908976.64 7011129.42,908972.62 7011097.34)"
13460,23229164,cycleway,760.266937752592,"SRID=3857;LINESTRING(913112.6 7015388.86,913131.13 7015304.39,913161.11 7015205.39,913170.22 7015158.29,913177.19 7015116.07,913190.47 7015088.87,913203.21 7015079.69,913209.53 7015075.12,913243.86 7014982.99,913266.41 7014955.84,913293.87 7014937.13,913328.11 7014919.36,913393.56 7014877.87,913454.57 7014831.11,913505.52 7014789.1)"
8003,16117185,cycleway,153.809758971428,"SRID=3857;LINESTRING(911744.8 7008687.59999999,911740.63 7008733.14,911713.16 7008837.67)"
1453,25477346,cycleway,23.3148471987018,"SRID=3857;LINESTRING(908967.17 7011131.05,908964.32 7011107.91)"
1452,24257801,cycleway,464.672625315525,"SRID=3857;LINESTRING(908860.24 7011240.07,908872.96 7011225.8,908880.5 7011216.63,908893.48 7011199.77,908921.27 7011163.69,908935.84 7011144.75,908937.7 7011142.34,908954.5 7011120.50999999,908960.3 7011112.97,908964.32 7011107.91,908972.62 7011097.34,908980.65 7011087.08,908988.37 7011076.94,908996.31 7011066.98,909006.38 7011053.11,909020.24 7011035.1,909077.89 7010960.24,909097.36 7010926.68,909093.95 7010875.91,909093.07 7010855.51)"
5140,24647268,cycleway,38.5807464945946,"SRID=3857;LINESTRING(915588.23 7002316.17,915568.85 7002349.53)"
20237,26685797,cycleway,74.4191948278617,"SRID=3857;LINESTRING(916340.46 7017806.22,916398.53 7017831.43,916409.64 7017831.17)"
7914,35218546,cycleway,59.9283680735202,"SRID=3857;LINESTRING(912155.86 7007658.31,912097.68 7007672.68)"
7912,35471290,cycleway,44.3289352464077,"SRID=3857;LINESTRING(912118.7 7007634.14,912155.86 7007658.31)"
7864,36918519,cycleway,577.385323956817,"SRID=3857;LINESTRING(911493.8 7007761,911589.05 7007752.91,911603.88 7007751.61,911667.7 7007743.05,911722.66 7007734.65,911744.24 7007731.92,911755.58 7007730.44,911804.77 7007720.75,911858.49 7007703.46,911909.06 7007681.36,911977.52 7007645.12,911999.74 7007634.27,912010.73 7007632.39,912036.51 7007639.22,912048.47 7007638.94)"
17174,32063094,cycleway,154.372745910816,"SRID=3857;LINESTRING(916158.85 7014562.89,916154.22 7014542.11,916126.58 7014453.86,916099.66 7014423.46)"
4306,21615491,cycleway,686.850073245079,"SRID=3857;LINESTRING(913398.47 7006412.18,913378.45 7006408.28,913369.36 7006410.08,913363.54 7006413.87,913358.58 7006419.5,913352.94 7006428.63,913350.59 7006653,913349.84 7006724.24,913349.25 7006778.82,913349.1 7006793.14,913348.78 7006823,913348.42 7006856.32,913366.95 7006877.26,913365.65 7006985.28,913364.34 7007038.67,913362.55 7007053.46)"
2341,663758471,cycleway,1066.44824679436,"SRID=3857;LINESTRING(909652.43 7014589.89,909606.46 7014624.58,909598.81 7014688.48,909593.77 7014706.85,909569.25 7014796.22,909554.52 7014806.5,909537.51 7014808.99,909399.81 7014897.28,909291.63 7014971.27,909218.2 7015101.75,909002.54 7015017.16,908978.7 7015052.33,908930.61 7015115.16)"
